Toko,Platform,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Pembayaran,Wilayah Toko,Kategori iPhone
AigoCell,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp2.640.000,"VA, E-Wallet",Jakarta Utara,Resmi
iLux Store,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp2.640.000,"VA, E-Wallet",Jakarta Utara,Resmi
LunexStore,Shopee,iPhone 12 Series,iPhone 12,64GB,99.0,Rp2.680.000,"VA, E-Wallet",Jakarta Utara,Resmi
Neomobile,Shopee,iPhone 12 Series,iPhone 12,512GB,,Rp2.720.000,"VA, E-Wallet",Jakarta Utara,Resmi
GGSTORE168,Shopee,iPhone 12 Series,iPhone 12,64GB,99.0,Rp2.749.000,"VA, E-Wallet",Surabaya,Resmi
YYSTORE168,Shopee,iPhone 12 Series,iPhone 12,64GB,95.0,Rp3.230.000,"VA, E-Wallet",Jakarta Utara,Resmi
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12,128GB,90.0,Rp3.270.000,"VA, E-Wallet",Jakarta Pusat,Inter
TiMii Resmi Store,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp3.350.000,"VA, E-Wallet",Jakarta Utara,Resmi
Duniagadget88,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp3.350.000,"VA, E-Wallet",Kab. Tangerang,Resmi
iSymphony835,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.350.000,"VA, E-Wallet",Kab. Tangerang,Resmi
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp3.370.000,"VA, E-Wallet",Jakarta Pusat,Inter
Mira Gadget,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.500.000,"COD, VA, E-Wallet",Jakarta Utara,Resmi
Bojun88,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.579.000,"VA, E-Wallet",Jakarta Utara,Inter
Bojun88,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.599.000,"VA, E-Wallet",Jakarta Utara,Inter
KhaiStore168,Shopee,iPhone 12 Series,iPhone 12,64GB,100.0,Rp3.600.000,"VA, E-Wallet",Jakarta Utara,Resmi
Oscar Store 168,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.600.000,"VA, E-Wallet",Jakarta Utara,Resmi
Luna Store09,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.649.000,"VA, E-Wallet",Jakarta Utara,Inter
SOHOStar,Shopee,iPhone 12 Series,iPhone 12,128GB,85.0,Rp3.699.000,"VA, E-Wallet",Tangerang,Inter
Queen Gadget08,Shopee,iPhone 12 Series,iPhone 12,64GB,85.0,Rp3.699.000,"VA, E-Wallet",Jakarta Utara,Inter
azizstore818,Shopee,iPhone 12 Series,iPhone 12,128GB,,Rp3.700.000,"VA, E-Wallet",Jakarta Utara,Resmi
